Month,Demand Deposits,Time Deposits,Aggregate deposits (2+3),Aggregate deposits (2+3) (Adjusted),Borrowings from RBI,Liabilities to Banks,Other demand and time liabilities,Investments in Govt. securities,Investments in other approved securities,Investment In India(8+9),Investment In India(8+9) (Adjusted),Food credit,Non - Food credit,Bank Credit (11+12),Bank Credit (11+12) (Adjusted),Cash in hand,Balances with RBI,Assets with Banks,Liquidity,Deposit Stability Growth,Deposit Stability,CD Ratio,Investment/Deposit Ratio,Market Risk Volatility,Market Risk - Coefficient of Variation
4/11/2025 0:00,"1,054,549","9,390,562","10,445,112",,"15,875","229,730","482,063","3,570,241","2,289","3,572,530",,"104,014","7,285,514","7,389,528",,"63,097","431,998","257,925","4,323,261",0.236433465,11.22988455,70.74628219,34.20289084,28.60366731,-305.2290329
5/11/2025 0:00,"1,078,529","9,391,279","10,469,807",,"12,645","238,249","508,618","3,601,863","3,141","3,605,004",,"105,064","7,212,327","7,317,391",,"139,795","431,156","273,115","4,445,928",0.141884939,11.48436586,69.89040906,34.43237881,29.83478067,-291.4679478
6/11/2025 0:00,"1,077,117","9,407,546","10,484,662",,"3,070","243,437","495,949","3,231,991","2,131","3,234,123",,"91,780","7,169,973","7,261,754",,"266,273","417,289","268,127","4,183,680",-5.273162565,11.44949652,69.26072868,30.84622579,31.40072219,-292.580673
7/11/2025 0:00,"934,271","8,997,518","9,931,789",,"52,512","224,751","482,037","2,881,395","1,787","2,883,182",,"102,229","7,282,185","7,384,414",,"65,506","418,413","261,555","3,626,869",1.629689973,10.38364974,74.35129566,29.0298367,32.98531626,-272.4733458
8/11/2025 0:00,"1,042,784","9,050,862","10,093,647",,"34,367","223,729","458,150","2,855,398","1,433","2,856,830",,"85,463","7,409,406","7,494,868",,"61,950","412,406","260,677","3,590,430",-4.115420325,11.52137944,74.25332741,28.3032525,35.11698857,-267.9725599
9/11/2025 0:00,"890,554","8,787,697","9,678,251",,"10,214","208,777","477,152","2,808,065","1,661","2,809,726",,"103,517","7,144,202","7,247,719",,"61,731","388,797","223,879","3,482,471",-0.582167387,10.13409426,74.8866631,29.03134004,37.53488273,-252.0197355
10/11/2025 0:00,"867,185","8,754,722","9,621,907",,"29,968","214,226","459,808","2,791,197","1,864","2,793,062",,"105,461","7,135,087","7,240,548",,"64,713","386,742","234,923","3,477,574",-0.81464615,9.905335892,75.25065116,29.02814985,40.55108013,-235.2133716
11/11/2025 0:00,"884,711","8,658,812","9,543,522",,"82,743","211,313","481,562","2,744,580","1,684","2,746,263",,"100,383","7,127,578","7,227,960",,"61,905","394,021","238,778","3,439,284",-0.308437423,10.21746257,75.73681942,28.77620303,44.37885767,-215.1549578
12/11/2025 0:00,"875,575","8,638,511","9,514,087",,"95,740","215,328","479,563","2,730,556","1,613","2,732,169",,"110,661","7,115,780","7,226,441",,"63,881","383,948","248,961","3,427,345",0.118116251,10.13572126,75.95517807,28.71708918,49.46382541,-191.6266109
13/11/2025 0:00,"903,763","8,621,561","9,525,324",,"88,650","225,998","480,662","2,691,026","1,546","2,692,572",,"104,070","7,128,225","7,232,295",,"62,073","398,272","257,335","3,408,706",-2.079030132,10.48259475,75.92701739,28.26751479,57.39758908,-170.199054
14/11/2025 0:00,"888,996","8,438,294","9,327,290",,"232,467","225,026","504,040","2,623,933","1,576","2,625,509",,"105,254","7,144,361","7,249,615",,"57,438","387,442","260,399","3,329,213",-0.298914072,10.53525993,77.72477278,28.14867749,70.09373678,-138.9749356
15/11/2025 0:00,"840,336","8,459,073","9,299,409",,"183,945","222,504","473,409","2,702,653","1,825","2,704,479",,"107,782","7,036,996","7,144,778",,"57,508","387,106","265,607","3,412,874",-0.872486801,9.934136626,76.83045447,29.08226476,#DIV/0!,#DIV/0!
16/11/2025 0:00,"812,124","8,406,149","9,218,273",,"161,941","228,490","452,968","2,697,553","1,863","2,699,417",,"102,187","6,953,290","7,055,477",,"61,286","380,788","264,063","3,403,690",-100,9.661073024,76.53795024,29.28332049,#DIV/0!,#DIV/0!
